Speed: 0.248838, angle1: -0.050764, angle2: -0.722858, v1: -2.898110, v2: 4.256939, M1: -2.325718, M2: -0.057577
Speed: 0.258923, angle1: -0.079574, angle2: -0.677401, v1: -2.881009, v2: 4.545769, M1: -2.146925, M2: -0.034743
Speed: 0.269561, angle1: -0.108153, angle2: -0.629239, v1: -2.857830, v2: 4.816187, M1: -1.959365, M2: -0.013547
Speed: 0.280587, angle1: -0.136438, angle2: -0.578573, v1: -2.828553, v2: 5.066581, M1: -1.763250, M2: 0.006162
Speed: 0.291814, angle1: -0.164369, angle2: -0.525614, v1: -2.793067, v2: 5.295852, M1: -1.558836, M2: 0.024816
Speed: 0.303032, angle1: -0.191881, angle2: -0.470579, v1: -2.751188, v2: 5.503521, M1: -1.346434, M2: 0.042905
Speed: 0.314018, angle1: -0.218906, angle2: -0.413690, v1: -2.702555, v2: 5.688941, M1: -1.126419, M2: 0.060708
Speed: 0.324540, angle1: -0.245372, angle2: -0.355179, v1: -2.646594, v2: 5.851068, M1: -0.899249, M2: 0.078420
Speed: 0.334358, angle1: -0.271198, angle2: -0.295287, v1: -2.582615, v2: 5.989170, M1: -0.665487, M2: 0.096390
Speed: 0.343226, angle1: -0.296297, angle2: -0.234256, v1: -2.509862, v2: 6.103162, M1: -0.425813, M2: 0.115016
Speed: 0.350908, angle1: -0.320571, angle2: -0.172326, v1: -2.427404, v2: 6.192972, M1: -0.181031, M2: 0.134460
Speed: 0.357175, angle1: -0.343912, angle2: -0.109744, v1: -2.334057, v2: 6.258210, M1: 0.067914, M2: 0.154694
Speed: 0.361813, angle1: -0.366196, angle2: -0.046756, v1: -2.228439, v2: 6.298762, M1: 0.319907, M2: 0.175702
Speed: 0.364624, angle1: -0.387286, angle2: 0.016395, v1: -2.108964, v2: 6.315139, M1: 0.573648, M2: 0.197397
Speed: 0.365431, angle1: -0.407022, angle2: 0.079475, v1: -1.973669, v2: 6.307935, M1: 0.827630, M2: 0.219350
Speed: 0.364072, angle1: -0.425223, angle2: 0.142250, v1: -1.820041, v2: 6.277569, M1: 1.080101, M2: 0.240804
Speed: 0.360411, angle1: -0.441678, angle2: 0.204437, v1: -1.645507, v2: 6.218688, M1: 1.329010, M2: 0.260809
Speed: 0.354425, angle1: -0.456181, angle2: 0.265627, v1: -1.450350, v2: 6.118992, M1: 1.572001, M2: 0.281155
Speed: 0.346371, angle1: -0.468584, angle2: 0.325568, v1: -1.240311, v2: 5.994085, M1: 1.806704, M2: 0.309898
Speed: 0.336710, angle1: -0.478796, angle2: 0.384139, v1: -1.021156, v2: 5.857086, M1: 2.031277, M2: 0.347457
Speed: 0.325902, angle1: -0.486743, angle2: 0.441100, v1: -0.794730, v2: 5.696164, M1: 2.244410, M2: 0.387900
Speed: 0.314465, angle1: -0.492372, angle2: 0.496135, v1: -0.562923, v2: 5.503440, M1: 2.444939, M2: 0.431472
Speed: 0.303070, angle1: -0.495675, angle2: 0.549070, v1: -0.330260, v2: 5.293563, M1: 2.631847, M2: 0.482663
Speed: 0.292297, angle1: -0.496721, angle2: 0.599974, v1: -0.104578, v2: 5.090381, M1: 2.804534, M2: 0.538986
