Speed: 0.138097, angle1: -0.009688, angle2: -0.316377, v1: -1.236971, v2: 0.560969, M1: -1.110497, M2: -0.260181
Speed: 0.142168, angle1: -0.021574, angle2: -0.312906, v1: -1.188556, v2: 0.347080, M1: -0.829583, M2: -0.293525
Speed: 0.144491, angle1: -0.033881, angle2: -0.305769, v1: -1.230714, v2: 0.713718, M1: -0.873603, M2: -0.144127
Speed: 0.146799, angle1: -0.046471, angle2: -0.295689, v1: -1.259018, v2: 1.007951, M1: -0.726883, M2: -0.129242
Speed: 0.149841, angle1: -0.058758, angle2: -0.286346, v1: -1.228723, v2: 0.934319, M1: -0.591361, M2: -0.197245
Speed: 0.152513, angle1: -0.070603, angle2: -0.277634, v1: -1.184476, v2: 0.871169, M1: -0.399579, M2: -0.162808
Speed: 0.154045, angle1: -0.082439, angle2: -0.266205, v1: -1.183635, v2: 1.142958, M1: -0.274153, M2: -0.048412
Speed: 0.155190, angle1: -0.094323, angle2: -0.251783, v1: -1.188344, v2: 1.442205, M1: -0.168921, M2: -0.012302
Speed: 0.156677, angle1: -0.105677, angle2: -0.237983, v1: -1.135421, v2: 1.379934, M1: -0.021736, M2: -0.074616
Speed: 0.157722, angle1: -0.116411, angle2: -0.224904, v1: -1.073358, v2: 1.307873, M1: 0.110020, M2: -0.051545
Speed: 0.157864, angle1: -0.117900, angle2: -0.209589, v1: -1.049567, v2: 1.531593, M1: 0.231641, M2: 0.051403
Speed: 0.157736, angle1: -0.117900, angle2: -0.190946, v1: -1.050725, v2: 1.864219, M1: 0.230779, M2: 0.089609
Speed: 0.158095, angle1: -0.117900, angle2: -0.172339, v1: -1.014949, v2: 1.860701, M1: 0.163294, M2: -0.000682
Speed: 0.158604, angle1: -0.117900, angle2: -0.155219, v1: -0.967548, v2: 1.712000, M1: 0.075132, M2: -0.049141
Speed: 0.158777, angle1: -0.117900, angle2: -0.137394, v1: -0.953258, v2: 1.782520, M1: 0.074700, M2: 0.008502
Speed: 0.158838, angle1: -0.117900, angle2: -0.116575, v1: -0.979696, v2: 2.081916, M1: 0.031197, M2: 0.063733
Speed: 0.159164, angle1: -0.117900, angle2: -0.095500, v1: -0.968788, v2: 2.107540, M1: 0.019144, M2: -0.005963
Speed: 0.159526, angle1: -0.117900, angle2: -0.076361, v1: -0.926344, v2: 1.913869, M1: 0.003069, M2: -0.064445
Speed: 0.159714, angle1: -0.117900, angle2: -0.056862, v1: -0.917815, v2: 1.949935, M1: 0.000000, M2: -0.006501
Speed: 0.159912, angle1: -0.117900, angle2: -0.034914, v1: -0.941462, v2: 2.194765, M1: 0.003306, M2: 0.048677
Speed: 0.160135, angle1: -0.117900, angle2: -0.012939, v1: -0.928706, v2: 2.197479, M1: 0.018720, M2: -0.009135
Speed: 0.160186, angle1: -0.117900, angle2: 0.007021, v1: -0.883888, v2: 1.995961, M1: 0.028343, M2: -0.059795
Speed: 0.160130, angle1: -0.117900, angle2: 0.026738, v1: -0.860448, v2: 1.971730, M1: 0.077385, M2: -0.007611
Speed: 0.160228, angle1: -0.117900, angle2: 0.048532, v1: -0.872105, v2: 2.179411, M1: 0.088526, M2: 0.054566
Speed: 0.160088, angle1: -0.117900, angle2: 0.070122, v1: -0.844293, v2: 2.159054, M1: 0.160068, M2: 0.009345
Speed: 0.159635, angle1: -0.117900, angle2: 0.089673, v1: -0.788875, v2: 1.955034, M1: 0.162424, M2: -0.036492
Speed: 0.158972, angle1: -0.117900, angle2: 0.108012, v1: -0.732937, v2: 1.833908, M1: 0.301674, M2: 0.005980
Speed: 0.158601, angle1: -0.117900, angle2: 0.127858, v1: -0.713607, v2: 1.984609, M1: 0.367955, M2: 0.087470
Speed: 0.158133, angle1: -0.117900, angle2: 0.148582, v1: -0.682803, v2: 2.072451, M1: 0.416331, M2: 0.081722
Speed: 0.156904, angle1: -0.117900, angle2: 0.166654, v1: -0.595951, v2: 1.807139, M1: 0.458100, M2: -0.001016
Speed: 0.155160, angle1: -0.117900, angle2: 0.181647, v1: -0.483344, v2: 1.499361, M1: 0.671047, M2: 0.020821
Speed: 0.154298, angle1: -0.117900, angle2: 0.198332, v1: -0.434382, v2: 1.668433, M1: 0.781030, M2: 0.162246
Speed: 0.153505, angle1: -0.117900, angle2: 0.217044, v1: -0.382594, v2: 1.871243, M1: 0.884189, M2: 0.188801
Speed: 0.151406, angle1: -0.117900, angle2: 0.232924, v1: -0.252735, v2: 1.588010, M1: 0.929848, M2: 0.069544
Speed: 0.148321, angle1: -0.117900, angle2: 0.243795, v1: -0.070206, v2: 1.087093, M1: 1.149246, M2: 0.046302
Speed: 0.146948, angle1: -0.117668, angle2: 0.255948, v1: 0.023213, v2: 1.215264, M1: 1.235847, M2: 0.225356
Speed: 0.146214, angle1: -0.116680, angle2: 0.271205, v1: 0.098745, v2: 1.525699, M1: 1.398552, M2: 0.304123
Speed: 0.143756, angle1: -0.113976, angle2: 0.283255, v1: 0.270448, v2: 1.205040, M1: 1.518320, M2: 0.168432
Speed: 0.140788, angle1: -0.109251, angle2: 0.289978, v1: 0.472516, v2: 0.672298, M1: 1.590353, M2: 0.131928
Speed: 0.140342, angle1: -0.103523, angle2: 0.297817, v1: 0.572744, v2: 0.783915, M1: 1.621173, M2: 0.314496
Speed: 0.141267, angle1: -0.097248, angle2: 0.308720, v1: 0.627580, v2: 1.090253, M1: 1.623130, M2: 0.385096
Speed: 0.140689, angle1: -0.089593, angle2: 0.316130, v1: 0.765412, v2: 0.740965, M1: 1.661899, M2: 0.239436
Speed: 0.139924, angle1: -0.080369, angle2: 0.318202, v1: 0.922401, v2: 0.207230, M1: 1.647945, M2: 0.195781
Speed: 0.141694, angle1: -0.070485, angle2: 0.321038, v1: 0.988485, v2: 0.283625, M1: 1.686100, M2: 0.366991
Speed: 0.145455, angle1: -0.060846, angle2: 0.328045, v1: 0.963830, v2: 0.700707, M1: 1.417258, M2: 0.435215
Speed: 0.146539, angle1: -0.050065, angle2: 0.330057, v1: 1.078147, v2: 0.201206, M1: 1.588084, M2: 0.232707
Speed: 0.147611, angle1: -0.038093, angle2: 0.326505, v1: 1.197206, v2: -0.355278, M1: 1.499829, M2: 0.198318
Speed: 0.151537, angle1: -0.026199, angle2: 0.325298, v1: 1.189403, v2: -0.120634, M1: 1.343328, M2: 0.380199
Speed: 0.156100, angle1: -0.014677, angle2: 0.327444, v1: 1.152173, v2: 0.214547, M1: 1.283847, M2: 0.409211
Speed: 0.158142, angle1: -0.002403, angle2: 0.324359, v1: 1.227415, v2: -0.308455, M1: 1.202582, M2: 0.176326
Speed: 0.159900, angle1: 0.010724, angle2: 0.315676, v1: 1.312729, v2: -0.868289, M1: 1.104646, M2: 0.135268
Speed: 0.163960, angle1: 0.023440, angle2: 0.309497, v1: 1.271572, v2: -0.617937, M1: 0.911881, M2: 0.309975
Speed: 0.168227, angle1: 0.035440, angle2: 0.306940, v1: 1.200022, v2: -0.255707, M1: 0.800402, M2: 0.327226
Speed: 0.169804, angle1: 0.047992, angle2: 0.298767, v1: 1.255115, v2: -0.817285, M1: 0.711049, M2: 0.069171
Speed: 0.171174, angle1: 0.061058, angle2: 0.285478, v1: 1.306619, v2: -1.328877, M1: 0.567237, M2: 0.040867
Speed: 0.174107, angle1: 0.073500, angle2: 0.274630, v1: 1.244268, v2: -1.084799, M1: 0.408940, M2: 0.203738
